title,abbrev_title
Animal models and experimental medicine,Animal Model Exp Med
European urology oncology,Eur Urol Oncol
Pulmonology,Pulmonology
Cancer communications,Cancer Commun (Lond)
Neuropsychopharmacology reports,Neuropsychopharmacol Rep
Journal of evidence-based integrative medicine,J Evid Based Integr Med
Communications biology,Commun Biol
BMJ evidence-based medicine,BMJ Evid Based Med
Australian journal of general practice,Aust J Gen Pract
Lifestyle genomics,Lifestyle Genom
BMJ sexual & reproductive health,BMJ Sex Reprod Health
Circulation. Genomic and precision medicine,Circ Genom Precis Med
A&A practice,A A Pract
Annual review of biomedical data science,Annu Rev Biomed Data Sci
Molecular omics,Mol Omics
Revista Colombiana de psiquiatría (English ed.),Rev Colomb Psiquiatr (Engl Ed)
Neurocirugía (English Edition),Neurocirugia (Astur : Engl Ed)
Enfermería intensiva,Enferm Intensiva (Engl Ed)
Enfermedades infecciosas y microbiologia clinica,Enferm Infecc Microbiol Clin (Engl Ed)
Enfermería clínica (English Edition),Enferm Clin (Engl Ed)
Modern rheumatology case reports,Mod Rheumatol Case Rep
IISE transactions on occupational ergonomics and human factors,IISE Trans Occup Ergon Hum Factors
"Endocrinology, diabetes & metabolism",Endocrinol Diabetes Metab
Biochimica et biophysica acta. Proteins and proteomics,Biochim Biophys Acta Proteins Proteom
Biochimica et biophysica acta. Molecular cell research,Biochim Biophys Acta Mol Cell Res
Biochimica et biophysica acta. Molecular basis of disease,Biochim Biophys Acta Mol Basis Dis
Biochimica et biophysica acta. Molecular and cell biology of lipids,Biochim Biophys Acta Mol Cell Biol Lipids
Biochimica et biophysica acta. General subjects,Biochim Biophys Acta Gen Subj
Biochimica et biophysica acta. Gene regulatory mechanisms,Biochim Biophys Acta Gene Regul Mech
Biochimica et biophysica acta. Biomembranes,Biochim Biophys Acta Biomembr
Biochimica et biophysica acta. Bioenergetics,Biochim Biophys Acta Bioenerg
Life science alliance,Life Sci Alliance
Journal of the American Academy of Orthopaedic Surgeons. Global research & reviews,J Am Acad Orthop Surg Glob Res Rev
BJS open,BJS Open
European radiology experimental,Eur Radiol Exp
"Endocrinología, diabetes y nutrición",Endocrinol Diabetes Nutr (Engl Ed)
The Lancet. Child & adolescent health,Lancet Child Adolesc Health
Health literacy research and practice,Health Lit Res Pract
Asian journal of anesthesiology,Asian J Anesthesiol
BMJ open quality,BMJ Open Qual
"Journal of experimental zoology. Part A, Ecological and integrative physiology",J Exp Zool A Ecol Integr Physiol
Journal de médecine vasculaire,J Med Vasc
JCO clinical cancer informatics,JCO Clin Cancer Inform
ImmunoHorizons,Immunohorizons
Emerging topics in life sciences,Emerg Top Life Sci
The Lancet. Planetary health,Lancet Planet Health
Journal of gynecology obstetrics and human reproduction,J Gynecol Obstet Hum Reprod
"Journal of stomatology, oral and maxillofacial surgery",J Stomatol Oral Maxillofac Surg
Birth defects research,Birth Defects Res
Polish archives of internal medicine,Pol Arch Intern Med
Nanotheranostics,Nanotheranostics
Annals of work exposures and health,Ann Work Expo Health
Complementary medicine research,Complement Med Res
Nature human behaviour,Nat Hum Behav
SLAS technology,SLAS Technol
SLAS discovery : advancing life sciences R & D,SLAS Discov
Ophthalmology. Retina,Ophthalmol Retina
"Gynécologie, obstétrique, fertilité & sénologie",Gynecol Obstet Fertil Senol
Musculoskeletal science & practice,Musculoskelet Sci Pract
GeroScience,Geroscience
Biochimica et biophysica acta. Reviews on cancer,Biochim Biophys Acta Rev Cancer
Science robotics,Sci Robot
European endodontic journal,Eur Endod J
Nanoscale horizons,Nanoscale Horiz
Global health research and policy,Glob Health Res Policy
"Global health, epidemiology and genomics",Glob Health Epidemiol Genom
The Lancet. Public health,Lancet Public Health
Nature ecology & evolution,Nat Ecol Evol
Blood advances,Blood Adv
Cognitive research: principles and implications,Cogn Res Princ Implic
Advances in respiratory medicine,Adv Respir Med
Zoological research,Zool Res
Nature biomedical engineering,Nat Biomed Eng
Physiology international,Physiol Int
Hepatology communications,Hepatol Commun
Cancer treatment and research communications,Cancer Treat Res Commun
The journal of applied laboratory medicine,J Appl Lab Med
Epilepsia open,Epilepsia Open
Topics in current chemistry,Top Curr Chem (Cham)
ESMO open,ESMO Open
The lancet. Gastroenterology & hepatology,Lancet Gastroenterol Hepatol
Stroke and vascular neurology,Stroke Vasc Neurol
"Infection, disease & health",Infect Dis Health
Science immunology,Sci Immunol
The journal of hand surgery Asian-Pacific volume,J Hand Surg Asian Pac Vol
Journal of doctoral nursing practice,J Dr Nurs Pract
BMJ global health,BMJ Glob Health
JDR clinical and translational research,JDR Clin Trans Res
Cannabis and cannabinoid research,Cannabis Cannabinoid Res
Comprehensive child and adolescent nursing,Compr Child Adolesc Nurs
Hand surgery & rehabilitation,Hand Surg Rehabil
Computer assisted surgery,Comput Assist Surg (Abingdon)
Current research in translational medicine,Curr Res Transl Med
Journal of ISAKOS : joint disorders & orthopaedic sports medicine,J ISAKOS
"Mitochondrial DNA. Part A, DNA mapping, sequencing, and analysis",Mitochondrial DNA A DNA Mapp Seq Anal
NanoImpact,NanoImpact
Signal transduction and targeted therapy,Signal Transduct Target Ther
GMS journal for medical education,GMS J Med Educ
JCI insight,JCI Insight
"Acta crystallographica. Section D, Structural biology",Acta Crystallogr D Struct Biol
JAMA cardiology,JAMA Cardiol
Cell chemical biology,Cell Chem Biol
Physical review. E,Phys Rev E
HLA,HLA
Clinical spine surgery,Clin Spine Surg
Investigative and clinical urology,Investig Clin Urol
Nature microbiology,Nat Microbiol
Abdominal radiology,Abdom Radiol (NY)
Biological psychiatry. Cognitive neuroscience and neuroimaging,Biol Psychiatry Cogn Neurosci Neuroimaging
ACS sensors,ACS Sens
Revista española de anestesiología y reanimación,Rev Esp Anestesiol Reanim (Engl Ed)
Journal international de bioéthique et d'éthique des sciences,J Int Bioethique Ethique Sci
Health systems and reform,Health Syst Reform
Clinical and experimental dental research,Clin Exp Dent Res
Turkish journal of ophthalmology,Turk J Ophthalmol
Spinal cord series and cases,Spinal Cord Ser Cases
"Veterinary parasitology, regional studies and reports",Vet Parasitol Reg Stud Reports
Veterinary medicine and science,Vet Med Sci
European heart journal. Quality of care & clinical outcomes,Eur Heart J Qual Care Clin Outcomes
NPJ systems biology and applications,NPJ Syst Biol Appl
Romanian journal of ophthalmology,Rom J Ophthalmol
Brazilian journal of cardiovascular surgery,Braz J Cardiovasc Surg
International journal of implant dentistry,Int J Implant Dent
Biomedical physics & engineering express,Biomed Phys Eng Express
mSphere,mSphere
International journal of health economics and management,Int J Health Econ Manag
Nature reviews. Disease primers,Nat Rev Dis Primers
Microbial genomics,Microb Genom
Tomography : a journal for imaging research,Tomography
European heart journal. Cardiovascular pharmacotherapy,Eur Heart J Cardiovasc Pharmacother
JMIR public health and surveillance,JMIR Public Health Surveill
New directions for student leadership,New Dir Stud Leadersh
NPJ biofilms and microbiomes,NPJ Biofilms Microbiomes
Trends in cancer,Trends Cancer
European urology focus,Eur Urol Focus
Interdisciplinary topics in gerontology and geriatrics,Interdiscip Top Gerontol Geriatr
RMD open,RMD Open
Annual review of vision science,Annu Rev Vis Sci
Cold Spring Harbor molecular case studies,Cold Spring Harb Mol Case Stud
JACC. Clinical electrophysiology,JACC Clin Electrophysiol
Sleep health,Sleep Health
Cell systems,Cell Syst
Aerospace medicine and human performance,Aerosp Med Hum Perform
Health security,Health Secur
ACS biomaterials science & engineering,ACS Biomater Sci Eng
Clinical nutrition ESPEN,Clin Nutr ESPEN
ACS infectious diseases,ACS Infect Dis
Science advances,Sci Adv
Drug metabolism and personalized therapy,Drug Metab Pers Ther
JAMA oncology,JAMA Oncol
"Anaesthesia, critical care & pain medicine",Anaesth Crit Care Pain Med
Archives of endocrinology and metabolism,Arch Endocrinol Metab
Nature plants,Nat Plants
Journal of anesthesia history,J Anesth Hist
Home healthcare now,Home Healthc Now
Infectious diseases,Infect Dis (Lond)
AMA journal of ethics,AMA J Ethics
Current opinion in psychology,Curr Opin Psychol
"Health promotion and chronic disease prevention in Canada : research, policy and practice",Health Promot Chronic Dis Prev Can
International biomechanics,Int Biomech
JBRA assisted reproduction,JBRA Assist Reprod
Nursing open,Nurs Open
ESC heart failure,ESC Heart Fail
Advanced science,Adv Sci (Weinh)
BMJ open gastroenterology,BMJ Open Gastroenterol
The journal of pathology. Clinical research,J Pathol Clin Res
Diagnosis,Diagnosis (Berl)
CRSLS : MIS case reports from SLS,CRSLS
Anatolian journal of cardiology,Anatol J Cardiol
Journal of neuromuscular diseases,J Neuromuscul Dis
Cellular and molecular gastroenterology and hepatology,Cell Mol Gastroenterol Hepatol
Public health research & practice,Public Health Res Pract
eNeuro,eNeuro
EBioMedicine,EBioMedicine
The lancet. HIV,Lancet HIV
Journal of managed care & specialty pharmacy,J Manag Care Spec Pharm
The Lancet. Haematology,Lancet Haematol
Military Medical Research,Mil Med Res
Scientific data,Sci Data
The journal of prevention of Alzheimer's disease,J Prev Alzheimers Dis
The lancet. Psychiatry,Lancet Psychiatry
Neurology® neuroimmunology & neuroinflammation,Neurol Neuroimmunol Neuroinflamm
Trends in hearing,Trends Hear
Current opinion in insect science,Curr Opin Insect Sci
Operative neurosurgery,Oper Neurosurg (Hagerstown)
Lupus science & medicine,Lupus Sci Med
Journal of experimental psychology. Animal learning and cognition,J Exp Psychol Anim Learn Cogn
Life sciences in space research,Life Sci Space Res (Amst)
NPJ primary care respiratory medicine,NPJ Prim Care Respir Med
AJOB empirical bioethics,AJOB Empir Bioeth
Progress in tumor research,Prog Tumor Res
Current environmental health reports,Curr Environ Health Rep
Journal of racial and ethnic health disparities,J Racial Ethn Health Disparities
Oncology research and treatment,Oncol Res Treat
Journal of immunology research,J Immunol Res
Post reproductive health,Post Reprod Health
Annual review of virology,Annu Rev Virol
Journal of oral & facial pain and headache,J Oral Facial Pain  Headache
The international journal of esthetic dentistry,Int J Esthet Dent
Swiss dental journal,Swiss Dent J
Soft robotics,Soft Robot
Arthritis & rheumatology,Arthritis Rheumatol
Canadian journal of gastroenterology & hepatology,Can J Gastroenterol Hepatol
Materials horizons,Mater Horiz
Annals of global health,Ann Glob Health
"Acta crystallographica. Section C, Structural chemistry",Acta Crystallogr C Struct Chem
"Acta crystallographica. Section A, Foundations and advances",Acta Crystallogr A Found Adv
LGBT health,LGBT Health
Journal of the American Society of Cytopathology,J Am Soc Cytopathol
Family medicine and community health,Fam Med Community Health
Prilozi,Pril (Makedon Akad Nauk Umet Odd Med Nauki)
JBJS reviews,JBJS Rev
BMJ open diabetes research & care,BMJ Open Diabetes Res Care
Journal of cancer policy,J Cancer Policy
BMJ open respiratory research,BMJ Open Respir Res
"Immunity, inflammation and disease",Immun Inflamm Dis
Microbiology spectrum,Microbiol Spectr
Revista clínica española,Rev Clin Esp (Barc)
Open heart,Open Heart
Big data,Big Data
Journal of food and drug analysis,J Food Drug Anal
Medical sciences,Med Sci (Basel)
BMC psychology,BMC Psychol
Pharmacology research & perspectives,Pharmacol Res Perspect
Journal of investigative medicine high impact case reports,J Investig Med High Impact Case Rep
Brazilian journal of anesthesiology,Braz J Anesthesiol
JMIR mHealth and uHealth,JMIR Mhealth Uhealth
"Global health, science and practice",Glob Health Sci Pract
Pharmaceutical nanotechnology,Pharm Nanotechnol
Annals of clinical and translational neurology,Ann Clin Transl Neurol
CoDAS,Codas
IEEE journal of translational engineering in health and medicine,IEEE J Transl Eng Health Med
Journal of global antimicrobial resistance,J Glob Antimicrob Resist
Healthcare,Healthc (Amst)
CMAJ open,CMAJ Open
Journal for immunotherapy of cancer,J Immunother Cancer
Journal of medical radiation sciences,J Med Radiat Sci
"Acta crystallographica. Section F, Structural biology communications",Acta Crystallogr F Struct Biol Commun
International journal of health policy and management,Int J Health Policy Manag
The lancet. Diabetes & endocrinology,Lancet Diabetes Endocrinol
Frontiers in public health,Front Public Health
Microbiome,Microbiome
Brazilian journal of physical therapy,Braz J Phys Ther
Sexual medicine reviews,Sex Med Rev
Cancer immunology research,Cancer Immunol Res
Bulletin of the Hospital for Joint Diseases,Bull Hosp Jt Dis  (2013)
Annual review of animal biosciences,Annu Rev Anim Biosci
The Lancet. Global health,Lancet Glob Health
Stem cell reports,Stem Cell Reports
Acta neuropathologica communications,Acta Neuropathol Commun
IEEE transactions on cybernetics,IEEE Trans Cybern
"Acta crystallographica Section B, Structural science, crystal engineering and materials",Acta Crystallogr B Struct Sci Cryst Eng Mater
Methods and applications in fluorescence,Methods Appl Fluoresc
Physiological reports,Physiol Rep
Journal of vascular surgery. Venous and lymphatic disorders,J Vasc Surg Venous Lymphat Disord
United European gastroenterology journal,United European Gastroenterol J
Rhode Island medical journal,R I Med J (2013)
Redox biology,Redox Biol
The Lancet. Respiratory medicine,Lancet Respir Med
Journal of diabetes research,J Diabetes Res
Zhonghua wei zhong bing ji jiu yi xue,Zhonghua Wei Zhong Bing Ji Jiu Yi Xue
IEEE journal of biomedical and health informatics,IEEE J Biomed Health Inform
Multisensory research,Multisens Res
Spine deformity,Spine Deform
Journal of the International Association of Providers of AIDS Care,J Int Assoc Provid AIDS Care
Journal for nurses in professional development,J Nurses Prof Dev
Molecular genetics & genomic medicine,Mol Genet Genomic Med
"Life sciences, society and policy",Life Sci Soc Policy
Journal of integrative medicine,J Integr Med
Plant reproduction,Plant Reprod
Urolithiasis,Urolithiasis
Drug research,Drug Res (Stuttg)
Environmental science. Processes & impacts,Environ Sci Process Impacts
Tissue barriers,Tissue Barriers
Annals of the American Thoracic Society,Ann Am Thorac Soc
Journal of the American Association of Nurse Practitioners,J Am Assoc Nurse Pract
The bone & joint journal,Bone Joint J
"Ophthalmic surgery, lasers & imaging retina",Ophthalmic Surg Lasers Imaging Retina
Journal of materials chemistry. B,J Mater Chem B
JACC. Heart failure,JACC Heart Fail
Medical science monitor basic research,Med Sci Monit Basic Res
Therapeutic innovation & regulatory science,Ther Innov Regul Sci
The journal of allergy and clinical immunology. In practice,J Allergy Clin Immunol Pract
Microscopy,Microscopy (Oxf)
Pathogens and disease,Pathog Dis
"Artificial cells, nanomedicine, and biotechnology",Artif Cells Nanomed Biotechnol
Biomaterials science,Biomater Sci
Monoclonal antibodies in immunodiagnosis and immunotherapy,Monoclon Antib Immunodiagn Immunother
JAMA surgery,JAMA Surg
JAMA psychiatry,JAMA Psychiatry
JAMA pediatrics,JAMA Pediatr
JAMA otolaryngology-- head & neck surgery,JAMA Otolaryngol Head Neck Surg
JAMA ophthalmology,JAMA Ophthalmol
JAMA neurology,JAMA Neurol
JAMA internal medicine,JAMA Intern Med
JAMA dermatology,JAMA Dermatol
Scandinavian journal of urology,Scand J Urol
Amyotrophic lateral sclerosis & frontotemporal degeneration,Amyotroph Lateral Scler Frontotemporal Degener
Andrology,Andrology
Revista española de medicina nuclear e imagen molecular,Rev Esp Med Nucl Imagen Mol (Engl Ed)
Tissue engineering and regenerative medicine,Tissue Eng Regen Med
CEN case reports,CEN Case Rep
Medical archives,Med Arch
MicroRNA,Microrna
The New bioethics : a multidisciplinary journal of biotechnology and the body,New Bioeth
IEEE transactions on neural networks and learning systems,IEEE Trans Neural Netw Learn Syst
International journal of mycobacteriology,Int J Mycobacteriol
Interventional cardiology clinics,Interv Cardiol Clin
Trends in neuroscience and education,Trends Neurosci Educ
Journal of extracellular vesicles,J Extracell Vesicles
NTP monograph,NTP Monogr
Chinese clinical oncology,Chin Clin Oncol
Infectious diseases of poverty,Infect Dis Poverty
Journal of sport and health science,J Sport Health Sci
Molecular metabolism,Mol Metab
The Journal of frailty & aging,J Frailty Aging
Primary dental journal,Prim Dent J
Journal of behavioral addictions,J Behav Addict
BioMed research international,Biomed Res Int
Biomedical journal,Biomed J
PsyCh journal,Psych J
Clinical and translational medicine,Clin Transl Med
NeuroImage. Clinical,Neuroimage Clin
GigaScience,Gigascience
Translational vision science & technology,Transl Vis Sci Technol
Cancer medicine,Cancer Med
Emerging microbes & infections,Emerg Microbes Infect
ChemistryOpen,ChemistryOpen
CNS oncology,CNS Oncol
Alcohol research : current reviews,Alcohol Res
F1000Research,F1000Res
Annals of parasitology,Ann Parasitol
Value in health regional issues,Value Health Reg Issues
Journal of the World federation of orthodontists,J World Fed Orthod
Translational neurodegeneration,Transl Neurodegener
European heart journal. Acute cardiovascular care,Eur Heart J Acute Cardiovasc Care
Perspectives on medical education,Perspect Med Educ
Journal of nutritional science,J Nutr Sci
BMC pharmacology & toxicology,BMC Pharmacol Toxicol
Journal of Huntington's disease,J Huntingtons Dis
WHO South-East Asia journal of public health,WHO South East Asia J Public Health
Cancer biology & medicine,Cancer Biol Med
MicrobiologyOpen,Microbiologyopen
Current nutrition reports,Curr Nutr Rep
Clinical and molecular hepatology,Clin Mol Hepatol
Journal of applied biomaterials & functional materials,J Appl Biomater Funct Mater
Journal of the Pediatric Infectious Diseases Society,J Pediatric Infect Dis Soc
Annals of palliative medicine,Ann Palliat Med
Antimicrobial resistance and infection control,Antimicrob Resist Infect Control
Revista española de medicina nuclear e imagen molecular,Rev Esp Med Nucl Imagen Mol
Applied neuropsychology. Child,Appl Neuropsychol Child
Israel journal of health policy research,Isr J Health Policy Res
Applied neuropsychology. Adult,Appl Neuropsychol Adult
Games for health journal,Games Health J
Asia-Pacific journal of ophthalmology,Asia Pac J Ophthalmol (Phila)
Pathogens and global health,Pathog Glob Health
Paediatrics and international child health,Paediatr Int Child Health
Pharmaceutical patent analyst,Pharm Pat Anal
International journal of nursing knowledge,Int J Nurs Knowl
Advanced healthcare materials,Adv Healthc Mater
Respiratory investigation,Respir Investig
Bioengineered,Bioengineered
ChemPlusChem,Chempluschem
"Journal of neurological surgery. Part A, Central European neurosurgery",J Neurol Surg A Cent Eur Neurosurg
Psychodynamic psychiatry,Psychodyn Psychiatry
Systematic reviews,Syst Rev
Journal of the American Heart Association,J Am Heart Assoc
Multiple sclerosis and related disorders,Mult Scler Relat Disord
CPT: pharmacometrics & systems pharmacology,CPT Pharmacometrics Syst Pharmacol
eLife,Elife
European journal of hospital pharmacy : science and practice,Eur J Hosp Pharm
Current obesity reports,Curr Obes Rep
Journal of comparative effectiveness research,J Comp Eff Res
"Oral surgery, oral medicine, oral pathology and oral radiology",Oral Surg Oral Med Oral Pathol Oral Radiol
Wiley interdisciplinary reviews. Developmental biology,Wiley Interdiscip Rev Dev Biol
Danish medical journal,Dan Med J
Workplace health & safety,Workplace Health Saf
ACS synthetic biology,ACS Synth Biol
Journal of the Academy of Nutrition and Dietetics,J Acad Nutr Diet
European heart journal. Cardiovascular Imaging,Eur Heart J Cardiovasc Imaging
Cell reports,Cell Rep
The Neurodiagnostic journal,Neurodiagn J
Clinical pharmacology in drug development,Clin Pharmacol Drug Dev
GM crops & food,GM Crops Food
Human vaccines & immunotherapeutics,Hum Vaccin Immunother
Advances in biological regulation,Adv Biol Regul
Pediatric obesity,Pediatr Obes
Annals of laboratory medicine,Ann Lab Med
The journal of trauma and acute care surgery,J Trauma Acute Care Surg
Oncoimmunology,Oncoimmunology
Diagnostic and interventional imaging,Diagn Interv Imaging
Adipocyte,Adipocyte
European journal of preventive cardiology,Eur J Prev Cardiol
Medicina intensiva,Med Intensiva (Engl Ed)
Open veterinary journal,Open Vet J
Trends in psychiatry and psychotherapy,Trends Psychiatry Psychother
Biosensors,Biosensors (Basel)
Progress in the chemistry of organic natural products,Prog Chem Org Nat Prod
Narrative inquiry in bioethics,Narrat Inq Bioeth
Cells,Cells
Clinical advances in periodontics,Clin Adv Periodontics
JBJS case connector,JBJS Case Connect
Biomolecules,Biomolecules
Journal of epidemiology and global health,J Epidemiol Glob Health
Advances in wound care,Adv Wound Care (New Rochelle)
Frontiers in cellular and infection microbiology,Front Cell Infect Microbiol
Global heart,Glob Heart
FEBS open bio,FEBS Open Bio
Open biology,Open Biol
Journal of global health,J Glob Health
Stem cells translational medicine,Stem Cells Transl Med
Biology open,Biol Open
Cerebrovascular diseases extra,Cerebrovasc Dis Extra
Nestlé Nutrition Institute workshop series,Nestle Nutr Inst Workshop Ser
International journal for parasitology. Drugs and drug resistance,Int J Parasitol Drugs Drug Resist
"Medizinische Klinik, Intensivmedizin und Notfallmedizin",Med Klin Intensivmed Notfmed
Comprehensive Physiology,Compr Physiol
Balkan medical journal,Balkan Med J
Advances in neurobiology,Adv Neurobiol
Cold Spring Harbor perspectives in medicine,Cold Spring Harb Perspect Med
Theoretical biology forum,Theor Biol Forum
Brain and behavior,Brain Behav
Tremor and other hyperkinetic movements,Tremor Other Hyperkinet Mov (N Y)
Blood cancer journal,Blood Cancer J
Journal of Parkinson's disease,J Parkinsons Dis
G3 : genes - genomes - genetics,G3 (Bethesda)
Nutrition & diabetes,Nutr Diabetes
BMJ supportive & palliative care,BMJ Support Palliat Care
Medical gas research,Med Gas Res
Scientific reports,Sci Rep
Medical mycology journal,Med Mycol J
Nucleic acid therapeutics,Nucleic Acid Ther
Translational psychiatry,Transl Psychiatry
International journal of paleopathology,Int J Paleopathol
Cancer discovery,Cancer Discov
Skeletal muscle,Skelet Muscle
Epidemiology and psychiatric sciences,Epidemiol Psychiatr Sci
Current opinion in virology,Curr Opin Virol
Clinical obesity,Clin Obes
Topics in antiviral medicine,Top Antivir Med
Journal of nutrition in gerontology and geriatrics,J Nutr Gerontol Geriatr
Practical radiation oncology,Pract Radiat Oncol
Diabetes & metabolism journal,Diabetes Metab J
Pain management,Pain Manag
International journal of clinical pharmacy,Int J Clin Pharm
Cardiorenal medicine,Cardiorenal Med
Translational behavioral medicine,Transl Behav Med
Nursing children and young people,Nurs Child Young People
Clinics and research in hepatology and gastroenterology,Clin Res Hepatol Gastroenterol
Gériatrie et psychologie neuropsychiatrie du vieillissement,Geriatr Psychol Neuropsychiatr Vieil
Fluids and barriers of the CNS,Fluids Barriers CNS
Cellular oncology (Dordrecht),Cell Oncol (Dordr)
BMJ open,BMJ Open
Pregnancy hypertension,Pregnancy Hypertens
Theranostics,Theranostics
Chiropractic & manual therapies,Chiropr Man Therap
Brain connectivity,Brain Connect
International forum of allergy & rhinology,Int Forum Allergy Rhinol
Frontiers of medicine,Front Med
BMJ quality & safety,BMJ Qual Saf
Therapeutic hypothermia and temperature management,Ther Hypothermia Temp Manag
Journal of adolescent and young adult oncology,J Adolesc Young Adult Oncol
Developmental cognitive neuroscience,Dev Cogn Neurosci
Drug delivery and translational research,Drug Deliv Transl Res
Cancer genetics,Cancer Genet
Neurodegenerative disease management,Neurodegener Dis Manag
Experientia. Supplementum,Exp Suppl
International journal of medical education,Int J Med Educ
Annual review of chemical and biomolecular engineering,Annu Rev Chem Biomol Eng
International urogynecology journal,Int Urogynecol J
International journal of surgical oncology,Int J Surg Oncol
Annual review of food science and technology,Annu Rev Food Sci Technol
Frontiers in immunology,Front Immunol
European journal of psychotraumatology,Eur J Psychotraumatol
Western Pacific surveillance and response journal : WPSAR,Western Pac Surveill Response J
Pulmonary medicine,Pulm Med
Frontiers in endocrinology,Front Endocrinol (Lausanne)
Endocrinology and metabolism,Endocrinol Metab (Seoul)
Journal of pregnancy,J Pregnancy
"Journal of cachexia, sarcopenia and muscle",J Cachexia Sarcopenia Muscle
"Pediatric allergy, immunology, and pulmonology",Pediatr Allergy Immunol Pulmonol
Food & function,Food Funct
Biology of sex differences,Biol Sex Differ
The primary care companion for CNS disorders,Prim Care Companion CNS Disord
Journal of advanced research,J Adv Res
Biologie aujourd'hui,Biol Aujourdhui
Research synthesis methods,Res Synth Methods
Childhood obesity,Child Obes
Analytical cellular pathology (Amsterdam),Anal Cell Pathol (Amst)
IEEE pulse,IEEE Pulse
Advances in nutrition,Adv Nutr
Updates in surgery,Updates Surg
Hormone molecular biology and clinical investigation,Horm Mol Biol Clin Investig
Therapeutic delivery,Ther Deliv
Wiley interdisciplinary reviews. RNA,Wiley Interdiscip Rev RNA
East Asian archives of psychiatry : official journal of the Hong Kong College of Psychiatrists = Dong Ya jing shen ke xue zhi : Xianggang jing shen ke yi xue yuan qi kan,East Asian Arch Psychiatry
The international journal of occupational and environmental medicine,Int J Occup Environ Med
Journal of geriatric oncology,J Geriatr Oncol
Molecular autism,Mol Autism
Journal of plastic surgery and hand surgery,J Plast Surg Hand Surg
European geriatric medicine,Eur Geriatr Med
Journal of visceral surgery,J Visc Surg
Protein & cell,Protein Cell
Dental press journal of orthodontics,Dental Press J Orthod
Clinical and translational gastroenterology,Clin Transl Gastroenterol
